#erste mode
#L=unbekannt
#x/m, I/nA
  0.031 , 0.62978
  0.029 , 0.48938
  0.027 , 2.24440
  0.025 , 0.92853
  0.023 , 2.68534
  0.022 , 5.0257
  0.021 , 6.2573
  0.020 , 5.2613
  0.019 , 3.6343
  0.018 , 4.0211
  0.018 , 1.1202
  0.017 , 8.8913
  0.016 , 14.7981
  0.015 , 18.0773
  0.014 , 18.897
  0.013 , 20.22
  0.012 , 24.974
  0.011 , 28.676
  0.010 , 35.051
  0.009 , 39.979
  0.008 , 43.685
  0.007 , 44.221
  0.006 , 40.383
  0.005 , 34.308
  0.004 , 24.899
  0.003 , 18.409
  0.002 , 12.210
  0.001 , 7.091
  0.000 , 3.566
 -0.001 , 1.637
 -0.002 , 1.031
 -0.003 , 2.950
 -0.004 , 6.667
 -0.005 , 11.173
 -0.006 , 16.513
 -0.007 , 20.980
 -0.008 , 23.424
 -0.009 , 27.747
 -0.010 , 26.445
 -0.011 , 24.102
 -0.012 , 21.381
 -0.013 , 17.631
 -0.014 , 13.895
 -0.015 , 10.420
 -0.016 , 8.870
 -0.017 , 6.652
 -0.018 , 3.354
 -0.019 , 2.127
 -0.020 , 1.442
 -0.021 , 0.673
 -0.022 , 0.441
 -0.023 , 0.426
 -0.025 , 0.501
 -0.027 , 0.431
 -0.029 , 0.621
 -0.031 , 0.859
