Druck M2 n2
mbar - - 
 50   3 1.01899+/-0.00002 
 100  5 1.03165+/-0.00003 
 150  7 1.04431+/-0.00004 
 200  9 1.05697+/-0.00006  
 250 13 1.08229+/-0.00008
 300 15 1.09495+/-0.00009
 350 17 1.10761+/-0.00011
 400 19 1.12027+/-0.00012
 450 21 1.13293+/-0.00013
 500 23 1.14559+/-0.00015
 550 26 1.16458+/-0.00016
 600 27 1.17091+/-0.00017
 650 31 1.19623+/-0.00020
 700 34 1.21522+/-0.00022
 750 37 1.23421+/-0.00023
 800 38 1.24054+/-0.00024
 850 40 1.25320+/-0.00025
 900 42 1.26586+/-0.00027
 950 44 1.27852+/-0.00028
1000 47 1.29751+/-0.00030
