   t  R_i   R_a  U     I_i   I_a
   s  ohm   ohm  V     A     A
 150  21.8  22.0 16.73 159.8 4.0
 300  24.0  23.3 16.76 159.9 4.0
 450  26.0  25.0 16.83 160.5 4.4
 600  27.9  27.0 16.88 160.8 4.4
 750  29.7  29.0 16.91 161.0 4.8
 900  31.6  31.3 16.94 161.2 4.8
1050  33.4  33.6 16.97 161.4 4.6
1200  35.2  35.8 16.99 161.5 4.6
1350  37.0  38.0 17.01 161.6 4.6
1500  38.8  40.2 17.03 161.7 4.6
1650  40.6  42.5 17.04 161.8 4.4
1800  42.5  44.7 17.06 161.8 4.3
1950  44.3  46.7 17.07 161.9 4.0
2100  46.0  48.5 17.09 161.9 4.0
2250  47.9  50.3 17.10 162.0 3.9
2400  49.6  51.8 17.11 162.1 3.9
2550  51.3  53.7 17.12 162.2 4.0
2700  52.9  54.9 17.13 162.2 3.8
2850  54.5  56.5 17.13 162.2 3.8  
3000  56.1  57.7 17.14 162.3 3.8
3150  57.7  58.8 17.15 162.3 3.8
3300  59.2  59.9 17.15 162.3 3.8
3450  60.6  60.9 17.16 162.4 3.8
3600  62.0  61.8 17.16 162.4 3.9
3750  63.4  62.9 17.17 162.4 3.9
3900  64.8  64.3 17.17 162.5 4.0
4050  66.1  65.7 17.17 162.5 4.0
4200  67.5  67.0 17.17 162.5 4.1
4350  68.8  68.8 17.18 162.5 4.2
4500  70.2  70.5 17.18 162.6 4.2
4650  71.5  72.5 17.18 162.6 4.0
4800  73.0  74.3 17.19 162.6 3.8
4950  74.4  76.0 17.19 162.6 3.8
5100  75.8  77.3 17.19 162.7 3.6
5250  77.2  78.5 17.19 162.7 3.6
5400  78.6  79.5 17.20 162.7 3.6
5700  80.0  80.5 17.19 162.7 3.6
6000  82.7  82.1 17.20 162.7 3.6
6300  85.0  83.7 17.20 162.8 3.6
6600  87.1  85.6 17.20 162.8 3.8
6900  89.3  88.4 17.20 162.7 4.0
7200  91.7  91.5 17.20 162.9 4.0
7500  94.3  94.8 17.20 163.0 4.0
7800  97.0  97.3 17.20 163.0 3.8
8100  99.4  99.2 17.19 163.0 3.8
8400 101.9 101.2 17.19 163.0 3.8
8700 104.2 103.9 17.19 162.9 4.0
9000 106.6 106.6 17.19 162.9 4.0
9300 109.1 109.2 17.19 162.9 4.0
9600 111.5 111.6 17.18 163.0 4.0
