Streuwinkel	\theta		Zählrate
Grad			\sfrac{1}{5s}

3.6		
3.5		100
3.4		90
3.3		118
3.2		102
3.1		84
3.0 	105
2.9		105
2.8		91
2.7		103
2.6		103
2.5		107
2.4		99
2.3		102
2.2		100
2.1		92
2.0		98
1.9 	111
1.8		103
1.7		114
1.6		129
1.5		105
1.4		108
1.3		99
1.2		95
1.1		111
1.0		113
0.9		98
0.8		106
0.7		106
0.6		82
0.5		98
0.4		93
0.3		89
0.2		87
 0.1	79
 0		97
-0		98
-0.1	92
-0.2	83
-0.35	81
-0.5	71
-0.6	65
-0.7	75
-0.8	59
-0.9	58
-1		59
-1.1	63
-1.2	39
-1.3	67
-1.4	48
-1.5	50
-1.6	54
-1.7	31
-1.8	50
-1.9	32
-2		34
-2.1	25
-2.2	30
-2.3	30
-2.4	22
-2.5	18
-2.6	81
-2.6	65
-2.7	18
-2.8	10
-2.9	13
-3.0	8
-3.2	7
-3.4	3
-3.6	3
-3.8	5
-4.0
