#Angle ,    PSD
   -1 , 974939
-0.96 , 976361
-0.92 , 974805
-0.88 , 975239
-0.84 , 973011
 -0.8 , 979932
-0.76 , 967869
-0.72 , 974797
-0.68 , 977206
-0.64 , 975310
 -0.6 , 970325
-0.56 , 976274
-0.52 , 972972
-0.48 , 981322
-0.44 , 981425
 -0.4 , 976796
-0.36 , 977815
-0.32 , 981006
-0.28 , 979150
-0.24 , 978913
 -0.2 , 988385
-0.16 , 993346
-0.12 , 987863
-0.08 , 995661
-0.04 , 889769
2.08167e-017 , 577111
 0.04 , 225656
 0.08 ,  24280
 0.12 ,      9
 0.16 ,      1
  0.2 ,      1
 0.24 ,      1
 0.28 ,      2
 0.32 ,      9
 0.36 ,     19
  0.4 ,     46
 0.44 ,     87
 0.48 ,    192
 0.52 ,    494
 0.56 ,   2604
  0.6 ,  10747
 0.64 ,  33913
 0.68 ,  43851
 0.72 ,  28845
 0.76 ,   7127
  0.8 ,    380
 0.84 ,      1
 0.88 ,      0
 0.92 ,      0
 0.96 ,      0
	1 ,      0
