#Angle ,    PSD
 -0.5 ,   1255
-0.48 ,   1509
-0.46 ,   1745
-0.44 ,   2265
-0.42 ,   2806
 -0.4 ,   3371
-0.38 ,   3992
-0.36 ,   4531
-0.34 ,   5164
-0.32 ,   6241
 -0.3 ,   7698
-0.28 ,   9281
-0.26 ,  11027
-0.24 ,  13013
-0.22 ,  15444
 -0.2 ,  19568
-0.18 ,  25955
-0.16 ,  34846
-0.14 ,  48306
-0.12 ,  69139
 -0.1 , 106681
-0.08 , 184449
-0.06 , 366560
-0.04 , 601309
-0.02 , 853279
1.04083e-017 , 959913
 0.02 , 867554
 0.04 , 634591
 0.06 , 364704
 0.08 , 174029
  0.1 ,  97946
 0.12 ,  64286
 0.14 ,  44569
 0.16 ,  34229
 0.18 ,  28870
  0.2 ,  24451
 0.22 ,  20075
 0.24 ,  15691
 0.26 ,  12265
 0.28 ,   9843
  0.3 ,   8421
 0.32 ,   7217
 0.34 ,   6061
 0.36 ,   5131
 0.38 ,   4301
  0.4 ,   3620
 0.42 ,   3078
 0.44 ,   2610
 0.46 ,   1837
 0.48 ,   1378
  0.5 ,    913
